writer_id,writer_name
280,Leonid Likhodeev
281,Dan Aeberhard
282,Morris L. West
283,Rexal Ford
284,Kim Dong-hyun
285,Janna Grosfeld
286,J.M. Barrie
287,Mailen Konstantinovsky
288,George Akiyama
289,Yo Takeyama
290,Jes  s Caballero
291,Horacio Alcal  
292,         
293,Zinaida Brumberg
294,Georgiy Beryozko
295,A. Karpov
296,Charles Perrault
297,Valentina Brumberg
298,Tatyana Basmanova
299,Paul D. Hannah
300,Guclu Aydogdu
301,Masahiro Kobayashi
302,Natalya Zvenigorodskaya
303,Abelardo Castillo
304,Jagadish
305,John Lundsten
306,Manos Vafeiadis
307,Eduardo Brito
308,Daniel Maya
309,Charles Spaak
310,Jean Guitton
311,Andr   Cerf
312,L  onide Moguy
313,Jo Teh
314,Timo Rose
315,Karel Sabina
316,Shigeo Yasuda
317,Otto Pacheco
318,Lenin M. Sivam
319,Tony Lucas
320,Song Huang
321,H.M. Walker
322,Ariel Cohen
323,Christian Klemke
324,Vera de Figueiredo
325,Juana Elbein dos Santos
326,Adam Bondar
327,Seung Yeob Lee
328,Antti Tuuri
329,Mareike Wegener
330,Ronald Harwood
331,Claudio de Alas
332,Liza Raheem
333,Carlos Cuar  n
334,Malou Schultzberg
335,Stanley Joseph
336,Robert Garofalo
337,Zoran Tairovi  
338,Pavol Barab    
339,J.O.C. Orton
340,Angus MacPhail
341,Maarten Lebens
342,Aaron Mack
343,Rachel Turner
344,Ali Siddiq
345,Laurent Chevallier
346,Mariano Ozores
347,Vincent Darkman
348,Kanji Nakajima
349,Jordan Walker Ross
350,Ale McHaddo
351,George Lefferts
352,Bob Thomas
353,Peter Rasmussen
354,Jacqueline Turnure
355,Ronald Edwards
356,James Goldman
357,Yossi Aviram
358,Emy Hovanesyan
359,Anghela Zograbyan
360,Edwin Avaness
361,Mary Mapes
362,James Vanderbilt
363,Oleg Fialko
364,Anna Akulevych
365,Tadeusz   liwiak
366,J  zef Hen
367,Wiktor Woroszylski
368,Ahmed Dram  
369,Marie-Castille Mention-Schaar
370,Katsuhito Inomata
371,Aaron Greene
372,Luiz Rosemberg Filho
373,Michel Carr  
374,Victor Hugo
375,Iz   Troin
376,Mariam Saidan
377,J.P. Santos
378,Ariel Moraes
379,Richard Wagner
380,Aleksandar Popovi  
381,Sherman Labby
382,Ben Starr
383,Shannon Holiday
384,Hideko Nakata
385,Takeshi Kitano
386,Yuji Kato
387,Albert Capellani
388,Brandon Tamburri
389,Jean Monp  re
390,Pilar Mir  
391,Claudio Guer  n Hill
392,Joseph O'Donnell
393,Joseph Drury
394,Gregory Oke
395,Christian Frey
396,Luuk Audenaerde
397,Sergey Kachkin
398,Daniel Casey
399,Sophocles
400,Enzo Cetrangolo
401,Pavel Kopta
402,Bed  ich Kubala
403,Jaroslav Bal  k
404,Josef Nesvadba
405,Matthias Kiefersauer
406,G  nter Kaltofen
407,Wilhelm Hauff
408,Beate Hanspach
409,Renat Davletgildeev
410,Anton Giulio Majano
411,Umberto Del Giglio
412,Luigi Giacosi
413,Ivo Perilli
414,Hagai Adorian
415,Fyodor Konev
416,Roshell Bissett
417,Ryosuke Aoike
418,Ken Dashow
419,  tienne Faure
420,Kirsten Lepore
421,Adolfo R. Mora
422,Artemis Anastasiadou
423,Tracey Moffatt
424,Watkin Tench
425,William Bradley
426,Michael Hui
427,David Mamet
428,Vladim  r Lehk  
429,Thomas Bidegain
430,Joachim Lafosse
431,Matthieu Reynaert
432,Lea Tafuri
433,Agatha Dominik
434,Jake Raymond Needham
435,Laurent Ruquier
436,Phil Harrell
437,Emma Harrell
438,Myles Clohessy
439,Fernando Fern  n G  mez
440,Juan Antonio de Zunzunegui
441,Sitisiri Mongkolsiri
442,Kongdej Jaturanrasmee
443,Mat Dickie
444,Luigi Capuano
445,Pea Nunez
446,Tommy Collins
447,Rio Redwood-Sawyerr
448,Elijah Alvarado
449,Austin Vesely
450,William Collins
451,Bryce Cunningham
452,Iain Sinclair
453,Chris Petit
454,Jens Jonsson
455,Jana Proch  zkov  
456,Xelinda Yancy
457,Joaqu  n Tapia Guerra
458,Edgar Lyall
459,Louie Yu Tin
460,Bj  rn Bj  rnsson
461,Snorri     risson
462,Egill E  var  sson
463,Noah Berlow
464,Aryn Free Kelly
465,M. Muthaiah
466,Ashoka Mithran
467,Bryan Gordon
468,Yolanda Centeno
469,Jes  s Luque
470,Antonio Zucherino
471,William Shakespeare
472,Petros Sevastikoglou
473,Olga Mikhailova
474,Alexandros Kakavas
475,Constantinos Carydis
476,Leonor Alexandrino
477,Luca Dickten
478,Jonathan Chan
479,Alex Radzanowski
480,Josiah Castillo
481,William Lew
482,Giancarlo Governi
483,Guido De Maria
484,Byron Morgan
485,No  l Coward
486,Lesser Samuels
487,Joe Sherlock
488,Leroy Rivera
489,Anar Abbasov
490,Sigi Rothemund
491,Wolfgang B  ld
492,Georg Seitz
493,Rainer Brandt
494,Mick Garris
495,Olha Kobylianska
496,Oleksiy Shvachko
497,         
498,Kim Hyun-jung
499,Mark Berzins
500,Eric Ustian
501,James Burns Singer
502,Jan J  lek
503,Milo   Bro  
504,Milo   Vel  nsk  
505,Ryutaro Nakagawa
506,Natsu Miyashita
507,Eiji Umehara
508,Yoshihiro Nishimura
509,Jun Tsugita
510,Walt Hermosa Jr
